text,label,intent,severity
"Dạ tôi liên tục không dứt hay bị rụng tóc nhiều, ngoài ra còn bị ngứa da đầu và nhiều gàu.",Khoa Da Liễu,SYMPTOM,MEDIUM
"Cháu nhà tôi từ sáng nay hay bị nổi mẩn đỏ, ngoài ra còn bị ngứa ngáy và khóc đêm.",Khoa Nhi,SYMPTOM,MEDIUM
"Bác sĩ ơi, dạo này tôi đau tức hạ sườn phải, khoảng 2 ngày nay thấy vàng da và chán ăn.",Khoa Tiêu Hoá,SYMPTOM,EMERGENCY
Thẻ BHYT trái tuyến được hưởng mức giảm giá bao nhiêu?,FAQ,FAQ,NORMAL
"Dạ tôi bị sổ mũi, nghẹt mũi, chảy dịch xanh mấy tháng nay.",Khoa Tai Mũi Họng,SYMPTOM,MEDIUM
"Gần đây tôi kéo dài dai dẳng hay bị ruồi bay trước mắt, ngoài ra còn bị chớp sáng và giảm thị lực.",Khoa Mắt,SYMPTOM,NORMAL
"Gần đây tôi kéo dài dai dẳng hay thấy viêm xoang, ngoài ra còn thấy nhức vùng trán và hắt hơi liên tục.",Khoa Tai Mũi Họng,SYMPTOM,MEDIUM
Tôi bị đau đầu và chóng mặt kết hợp với buồn nôn mấy tháng nay.,Khoa Nội Thần Kinh,SYMPTOM,MEDIUM
Tôi bị đỏ mắt và đổ ghèn nhiều kèm theo ngứa mắt khoảng 2 ngày nay.,Khoa Mắt,SYMPTOM,NORMAL
"Dạ tôi bị nổi bong bóng nước, rát da, đỏ tấy từ sáng nay.",Khoa Da Liễu,SYMPTOM,MEDIUM
"Mấy hôm nay tôi thấy ù tai và đau nhức tai, chảy mủ tai liên tục không dứt.",Khoa Tai Mũi Họng,SYMPTOM,MEDIUM
"Cho tôi hỏi, Thủ tục nhập viện cần mang theo những giấy tờ gì?",FAQ,FAQ,NORMAL
"Tôi bị đầy hơi và khó tiêu, ợ chua kéo dài dai dẳng.",Khoa Tiêu Hoá,SYMPTOM,MEDIUM
"Con tôi mấy tháng nay hay thấy nổi mẩn đỏ, ngoài ra còn thấy ngứa ngáy và khóc đêm.",Khoa Nhi,SYMPTOM,MEDIUM
Hôm nay tôi bị tê bì chân tay và mỏi vai gáy và choáng váng thỉnh thoảng bị.,Khoa Nội Thần Kinh,SYMPTOM,EMERGENCY
"Cho tôi hỏi, Khám sức khỏe xin việc thì mất khoảng bao lâu?",FAQ,FAQ,NORMAL
Mấy hôm nay tôi bị tê bì chân taymỏi vai gáy và choáng váng khoảng 2 ngày nay.,Khoa Nội Thần Kinh,SYMPTOM,MEDIUM
Hôm nay tôi bị đau nhức khớp gối và đi lại khó khăn và kêu lạo xạo hơn 1 tuần rồi.,Khoa Xương Khớp,SYMPTOM,MEDIUM
Admin cho hỏi: Thủ tục nhập viện cần mang theo những giấy tờ gì?,FAQ,FAQ,NORMAL
"Bác sĩ ơi, hôm nay tôi đau quặn bụng, liên tục không dứt thấy tiêu chảy, buồn nôn.",Khoa Tiêu Hoá,SYMPTOM,EMERGENCY
"Vui lòng cho biết, Tôi quên mật khẩu tài khoản thì lấy lại ở đâu?",FAQ,FAQ,NORMAL
"Trẻ nhà tôi bị biếng ănnôn trớ, quấy khóc mấy tháng nay.",Khoa Nhi,SYMPTOM,MEDIUM
"Bác sĩ ơi, tôi đau lưng, mấy tháng nay thấy lan xuống chân, tê buốt.",Khoa Xương Khớp,SYMPTOM,NORMAL
"Gần đây tôi hơn 1 tuần rồi hay bị hồi hộp, ngoài ra còn bị đánh trống ngực và khó thở khi nằm.",Khoa Tim Mạch,SYMPTOM,MEDIUM
"Dạ tôi bị đau tức hạ sườn phải, vàng da với lại chán ăn liên tục không dứt.",Khoa Tiêu Hoá,SYMPTOM,NORMAL
"Bác sĩ ơi, tôi mờ mắt, từ đêm qua thấy nhìn không rõ, chảy nước mắt.",Khoa Mắt,SYMPTOM,NORMAL
"Dạ tôi khoảng 2 ngày nay hay thấy ruồi bay trước mắt, ngoài ra còn thấy chớp sáng và giảm thị lực.",Khoa Mắt,SYMPTOM,NORMAL
"Dạ tôi mấy tháng nay hay bị bỏng nặng, ngoài ra còn bị đau dữ dội và phồng rộp lớn.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Dạ tôi bị hồi hộp và đánh trống ngực, khó thở khi nằm hơn 1 tuần rồi.",Khoa Tim Mạch,SYMPTOM,EMERGENCY
"Mấy hôm nay tôi bị nổi bong bóng nước và rát da, đỏ tấy mấy tháng nay.",Khoa Da Liễu,SYMPTOM,MEDIUM
"Con tôi bị tiêu chảy và đau bụng, sốt nhẹ mấy tháng nay.",Khoa Nhi,SYMPTOM,EMERGENCY
Gần đây tôi thấy thoái hóa cột sống và đau âm ỉ và nhức mỏi mấy tháng nay.,Khoa Xương Khớp,SYMPTOM,NORMAL
"Bác sĩ ơi tôi thấy sưng đỏ khớp ngón chân và đau buốt, khó cử động từ đêm qua.",Khoa Xương Khớp,SYMPTOM,NORMAL
Tôi quên mật khẩu tài khoản thì lấy lại ở đâu?,FAQ,FAQ,NORMAL
"Gần đây tôi kéo dài dai dẳng hay bị đau nhói tim, ngoài ra còn bị vã mồ hôi và mệt mỏi.",Khoa Tim Mạch,SYMPTOM,MEDIUM
"Mấy hôm nay tôi bị đau họng, nuốt vướng, sưng amidan từ sáng nay.",Khoa Tai Mũi Họng,SYMPTOM,MEDIUM
"Dạ tôi bị sưng đỏ khớp ngón chân và đau buốt, khó cử động từ sáng nay.",Khoa Xương Khớp,SYMPTOM,MEDIUM
"Cháu nhà tôi kéo dài dai dẳng hay thấy chảy nước mũi, ngoài ra còn thấy nghẹt mũi và hắt hơi.",Khoa Nhi,SYMPTOM,MEDIUM
"Cháu nhà tôi thỉnh thoảng bị hay bị chảy nước mũi, ngoài ra còn bị nghẹt mũi và hắt hơi.",Khoa Nhi,SYMPTOM,EMERGENCY
"Gần đây tôi hơn 1 tuần rồi hay bị sưng đỏ khớp ngón chân, ngoài ra còn bị đau buốt và khó cử động.",Khoa Xương Khớp,SYMPTOM,MEDIUM
Tôi bị đau mỏi vai gáy và tê tay với lại cứng khớp buổi sáng hơn 1 tuần rồi.,Khoa Xương Khớp,SYMPTOM,MEDIUM
"Dạ tôi thấy huyết áp cao, xây xẩm mặt mày, chóng mặt khoảng 2 ngày nay.",Khoa Tim Mạch,SYMPTOM,EMERGENCY
"Bé nhà tôi liên tục không dứt hay bị tiêu chảy, ngoài ra còn bị đau bụng và sốt nhẹ.",Khoa Nhi,SYMPTOM,EMERGENCY
"Bác sĩ ơi tôi hơn 1 tuần rồi hay thấy sưng đỏ khớp ngón chân, ngoài ra còn thấy đau buốt và khó cử động.",Khoa Xương Khớp,SYMPTOM,NORMAL
"Bác sĩ ơi, tôi nổi mẩn đỏ, hơn 1 tuần rồi thấy ngứa ngáy, lan rộng.",Khoa Da Liễu,SYMPTOM,NORMAL
"Vui lòng cho biết, Tôi muốn đăng ký khám nhi thì đi cửa nào?",FAQ,FAQ,NORMAL
"Dạo này tôi bị mất ngủ, trằn trọc với lại đau nửa đầu mấy tháng nay.",Khoa Nội Thần Kinh,SYMPTOM,NORMAL
"Gần đây tôi bị đầy hơi và khó tiêu, ợ chua liên tục không dứt.",Khoa Tiêu Hoá,SYMPTOM,NORMAL
"Mấy hôm nay tôi bị nổi bong bóng nước, rát da sau đó thì đỏ tấy mấy tháng nay.",Khoa Da Liễu,SYMPTOM,NORMAL
"Bác sĩ ơi, hôm nay tôi sưng đỏ khớp ngón chân, liên tục không dứt thấy đau buốt, khó cử động.",Khoa Xương Khớp,SYMPTOM,MEDIUM
"Bác sĩ ơi, gần đây tôi sổ mũi, từ sáng nay thấy nghẹt mũi kết hợp với chảy dịch xanh.",Khoa Tai Mũi Họng,SYMPTOM,MEDIUM
"Bé nhà tôi từ đêm qua hay bị sốt cao, ngoài ra còn bị ho khan và thở khò khè.",Khoa Nhi,SYMPTOM,EMERGENCY
"Hôm nay tôi hơn 1 tuần rồi hay bị ù tai, ngoài ra còn bị đau nhức tai và chảy mủ tai.",Khoa Tai Mũi Họng,SYMPTOM,NORMAL
"Bác sĩ ơi, dạ tôi đau dạ dày, kéo dài dai dẳng thấy nóng rát vùng ngực, ợ hơi.",Khoa Tiêu Hoá,SYMPTOM,NORMAL
"Bác sĩ ơi, người nhà tôi đau ngực dữ dội, kéo dài dai dẳng thấy đổ mồ hôi lạnh, choáng váng.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Bác sĩ ơi, gần đây tôi bỏng nặng, thỉnh thoảng thấy thấy đau dữ dội, phồng rộp lớn.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Gần đây tôi khoảng 2 ngày nay hay bị tê bì chân tay, ngoài ra còn bị mỏi vai gáy và choáng váng.",Khoa Nội Thần Kinh,SYMPTOM,MEDIUM
"Dạ tôi kéo dài dai dẳng hay thấy khô mắt, ngoài ra còn thấy mỏi mắt và nhức hốc mắt.",Khoa Mắt,SYMPTOM,NORMAL
Dạo này tôi bị rụng tóc nhiềungứa da đầu với lại nhiều gàu kéo dài dai dẳng.,Khoa Da Liễu,SYMPTOM,MEDIUM
"Con tôi liên tục không dứt hay bị chảy nước mũi, ngoài ra còn bị nghẹt mũi và hắt hơi.",Khoa Nhi,SYMPTOM,MEDIUM
"Mấy hôm nay tôi từ sáng nay hay bị nổi mẩn đỏ, ngoài ra còn bị ngứa ngáy và lan rộng.",Khoa Da Liễu,SYMPTOM,MEDIUM
"Dạ tôi bị cộm mắtnhạy cảm ánh sáng, nhức mắt từ sáng nay.",Khoa Mắt,SYMPTOM,MEDIUM
"Hôm nay tôi từ sáng nay hay bị rụng tóc nhiều, ngoài ra còn bị ngứa da đầu và nhiều gàu.",Khoa Da Liễu,SYMPTOM,NORMAL
"Cháu nhà tôi thấy nổi mẩn đỏ, ngứa ngáy và khóc đêm kéo dài dai dẳng.",Khoa Nhi,SYMPTOM,MEDIUM
"Bác sĩ ơi, gần đây tôi đau nhói tim, liên tục không dứt thấy vã mồ hôi, mệt mỏi.",Khoa Tim Mạch,SYMPTOM,EMERGENCY
"Trẻ nhà tôi thỉnh thoảng bị hay bị sốt cao, ngoài ra còn bị ho khan và thở khò khè.",Khoa Nhi,SYMPTOM,MEDIUM
"Bác sĩ ơi, dạo này tôi tê bì chân tay, khoảng 2 ngày nay thấy mỏi vai gáy sau đó thì choáng váng.",Khoa Nội Thần Kinh,SYMPTOM,MEDIUM
"Mấy hôm nay tôi từ sáng nay hay bị thoái hóa cột sống, ngoài ra còn bị đau âm ỉ và nhức mỏi.",Khoa Xương Khớp,SYMPTOM,MEDIUM
Dạ tôi bị đầy hơikhó tiêu với lại ợ chua mấy tháng nay.,Khoa Tiêu Hoá,SYMPTOM,MEDIUM
Tôi muốn đăng ký khám nhi thì đi cửa nào?,FAQ,FAQ,NORMAL
Bác sĩ ơi tôi thấy đau ngực dữ dội và đổ mồ hôi lạnh với lại choáng váng khoảng 2 ngày nay.,Khoa Cấp Cứu,SYMPTOM,EMERGENCY
Dạo này tôi bị đau tức ngực và khó thở với lại tim đập nhanh thỉnh thoảng bị.,Khoa Tim Mạch,SYMPTOM,EMERGENCY
"Bác sĩ ơi, bác sĩ ơi tôi nổi bong bóng nước, từ đêm qua thấy rát da sau đó thì đỏ tấy.",Khoa Da Liễu,SYMPTOM,NORMAL
"Gần đây tôi bị đau tức ngực, khó thở, tim đập nhanh mấy tháng nay.",Khoa Tim Mạch,SYMPTOM,EMERGENCY
"Bác sĩ ơi, dạo này tôi khó thở cấp, liên tục không dứt thấy tím tái, ngạt thở.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Trẻ nhà tôi bị nổi mẩn đỏngứa ngáy, khóc đêm mấy tháng nay.",Khoa Nhi,SYMPTOM,MEDIUM
"Mấy hôm nay tôi bị mờ mắt, nhìn không rõ với lại chảy nước mắt liên tục không dứt.",Khoa Mắt,SYMPTOM,NORMAL
"Bác sĩ ơi, bé nhà tôi nổi mẩn đỏ, hơn 1 tuần rồi thấy ngứa ngáy, khóc đêm.",Khoa Nhi,SYMPTOM,EMERGENCY
"Gần đây tôi bị đau nhói nửa đầu bên trái và sợ ánh sáng, buồn nôn mấy tháng nay.",Khoa Nội Thần Kinh,SYMPTOM,EMERGENCY
"Gần đây tôi từ sáng nay hay bị sưng đỏ khớp ngón chân, ngoài ra còn bị đau buốt và khó cử động.",Khoa Xương Khớp,SYMPTOM,NORMAL
"Bác sĩ ơi, tôi khàn tiếng, mấy tháng nay thấy mất giọng, ho có đờm.",Khoa Tai Mũi Họng,SYMPTOM,MEDIUM
"Dạ tôi hơn 1 tuần rồi hay bị viêm xoang, ngoài ra còn bị nhức vùng trán và hắt hơi liên tục.",Khoa Tai Mũi Họng,SYMPTOM,MEDIUM
"Bác sĩ ơi tôi thấy đau đầu, chóng mặt sau đó thì buồn nôn liên tục không dứt.",Khoa Nội Thần Kinh,SYMPTOM,EMERGENCY
"Bác sĩ ơi, gần đây tôi đau nhức khớp gối, mấy tháng nay thấy đi lại khó khăn, kêu lạo xạo.",Khoa Xương Khớp,SYMPTOM,MEDIUM
"Bác sĩ ơi, tôi rụng tóc nhiều, kéo dài dai dẳng thấy ngứa da đầu, nhiều gàu.",Khoa Da Liễu,SYMPTOM,EMERGENCY
"Dạ tôi bị mất ngủ và trằn trọc, đau nửa đầu kéo dài dai dẳng.",Khoa Nội Thần Kinh,SYMPTOM,MEDIUM
Bác sĩ ơi tôi bị hồi hộpđánh trống ngực kèm theo khó thở khi nằm từ sáng nay.,Khoa Tim Mạch,SYMPTOM,MEDIUM
"Tôi bị cộm mắtnhạy cảm ánh sáng, nhức mắt từ đêm qua.",Khoa Mắt,SYMPTOM,NORMAL
"Dạ tôi bị bỏng nặngđau dữ dội, phồng rộp lớn khoảng 2 ngày nay.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Dạ tôi từ đêm qua hay bị nổi bong bóng nước, ngoài ra còn bị rát da và đỏ tấy.",Khoa Da Liễu,SYMPTOM,NORMAL
"Bác sĩ ơi, dạo này tôi tê bì chân tay, từ đêm qua thấy mỏi vai gáy, choáng váng.",Khoa Nội Thần Kinh,SYMPTOM,MEDIUM
"Hôm nay tôi thấy tê bì chân tay, mỏi vai gáy, choáng váng thỉnh thoảng bị.",Khoa Nội Thần Kinh,SYMPTOM,EMERGENCY
Dạo này tôi thấy sưng đỏ khớp ngón chân và đau buốt với lại khó cử động thỉnh thoảng bị.,Khoa Xương Khớp,SYMPTOM,NORMAL
"Bác sĩ ơi, dạo này tôi ruồi bay trước mắt, khoảng 2 ngày nay thấy chớp sáng sau đó thì giảm thị lực.",Khoa Mắt,SYMPTOM,NORMAL
"Bác sĩ ơi, dạ tôi ù tai, từ đêm qua thấy đau nhức tai kèm theo chảy mủ tai.",Khoa Tai Mũi Họng,SYMPTOM,MEDIUM
"Mẹ tôi thấy khó thở cấp, tím tái đồng thời thấy ngạt thở hơn 1 tuần rồi.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Gần đây tôi hơn 1 tuần rồi hay bị co giật nhẹ, ngoài ra còn bị mất thăng bằng và ù tai.",Khoa Nội Thần Kinh,SYMPTOM,MEDIUM
"Con tôi bị tiêu chảy, đau bụng kết hợp với sốt nhẹ liên tục không dứt.",Khoa Nhi,SYMPTOM,EMERGENCY
"Dạ thưa bác sĩ, Khám sức khỏe xin việc thì mất khoảng bao lâu?",FAQ,FAQ,NORMAL
"Bác sĩ ơi, con tôi sốt cao, từ sáng nay thấy ho khan đồng thời thấy thở khò khè.",Khoa Nhi,SYMPTOM,EMERGENCY
"Vui lòng cho biết, Bệnh viện có khám BHYT vào cuối tuần không?",FAQ,FAQ,NORMAL
"Gần đây tôi liên tục không dứt hay bị rụng tóc nhiều, ngoài ra còn bị ngứa da đầu và nhiều gàu.",Khoa Da Liễu,SYMPTOM,NORMAL
"Dạ tôi hơn 1 tuần rồi hay bị ngất xỉu đột ngột, ngoài ra còn bị co giật và không phản ứng.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Dạ tôi bị huyết áp cao, xây xẩm mặt mày với lại chóng mặt từ đêm qua.",Khoa Tim Mạch,SYMPTOM,EMERGENCY
"Bác sĩ ơi, bác sĩ ơi tôi đau ngực dữ dội, khoảng 2 ngày nay thấy đổ mồ hôi lạnh kết hợp với choáng váng.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Mấy hôm nay tôi bị đau nhức khớp gốiđi lại khó khăn, kêu lạo xạo mấy tháng nay.",Khoa Xương Khớp,SYMPTOM,EMERGENCY
"Hôm nay tôi kéo dài dai dẳng hay bị đau nhói tim, ngoài ra còn bị vã mồ hôi và mệt mỏi.",Khoa Tim Mạch,SYMPTOM,MEDIUM
"Hôm nay tôi kéo dài dai dẳng hay bị hồi hộp, ngoài ra còn bị đánh trống ngực và khó thở khi nằm.",Khoa Tim Mạch,SYMPTOM,MEDIUM
"Bác sĩ ơi tôi liên tục không dứt hay bị nổi bong bóng nước, ngoài ra còn bị rát da và đỏ tấy.",Khoa Da Liễu,SYMPTOM,MEDIUM
"Bác sĩ ơi, gần đây tôi ù tai, hơn 1 tuần rồi thấy đau nhức tai kết hợp với chảy mủ tai.",Khoa Tai Mũi Họng,SYMPTOM,NORMAL
"Bác sĩ ơi, mấy hôm nay tôi đầy hơi, thỉnh thoảng bị thấy khó tiêu, ợ chua.",Khoa Tiêu Hoá,SYMPTOM,MEDIUM
"Hôm nay tôi thấy khó thở cấp, tím tái, ngạt thở mấy tháng nay.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Bác sĩ ơi, hôm nay tôi cộm mắt, liên tục không dứt thấy nhạy cảm ánh sáng kết hợp với nhức mắt.",Khoa Mắt,SYMPTOM,MEDIUM
"Bác sĩ ơi tôi từ sáng nay hay bị ruồi bay trước mắt, ngoài ra còn bị chớp sáng và giảm thị lực.",Khoa Mắt,SYMPTOM,NORMAL
"Bác sĩ ơi tôi bị cộm mắt, nhạy cảm ánh sáng, nhức mắt từ đêm qua.",Khoa Mắt,SYMPTOM,EMERGENCY
"Bác sĩ ơi, bác sĩ ơi tôi hồi hộp, khoảng 2 ngày nay thấy đánh trống ngực, khó thở khi nằm.",Khoa Tim Mạch,SYMPTOM,EMERGENCY
"Bác sĩ ơi, dạo này tôi tê bì chân tay, kéo dài dai dẳng thấy mỏi vai gáy và choáng váng.",Khoa Nội Thần Kinh,SYMPTOM,NORMAL
"Hôm nay tôi hơn 1 tuần rồi hay bị mụn viêm, ngoài ra còn bị sưng to và đau nhức.",Khoa Da Liễu,SYMPTOM,MEDIUM
Tôi bị co giật nhẹmất thăng bằng đồng thời bị ù tai khoảng 2 ngày nay.,Khoa Nội Thần Kinh,SYMPTOM,MEDIUM
Bác sĩ ơi tôi thấy nổi mẩn đỏngứa ngáy và lan rộng hơn 1 tuần rồi.,Khoa Da Liễu,SYMPTOM,EMERGENCY
"Hôm nay tôi mấy tháng nay hay bị giảm trí nhớ, ngoài ra còn bị hay quên và mệt mỏi.",Khoa Nội Thần Kinh,SYMPTOM,EMERGENCY
"Bác sĩ ơi tôi bị đau mỏi vai gáytê tay, cứng khớp buổi sáng kéo dài dai dẳng.",Khoa Xương Khớp,SYMPTOM,NORMAL
"Cho tôi hỏi, Giá tiền phòng dịch vụ một ngày là bao nhiêu?",FAQ,FAQ,NORMAL
"Mấy hôm nay tôi liên tục không dứt hay thấy đau dạ dày, ngoài ra còn thấy nóng rát vùng ngực và ợ hơi.",Khoa Tiêu Hoá,SYMPTOM,MEDIUM
"Tôi từ đêm qua hay bị khô mắt, ngoài ra còn bị mỏi mắt và nhức hốc mắt.",Khoa Mắt,SYMPTOM,MEDIUM
"Bác sĩ ơi, mấy hôm nay tôi rụng tóc nhiều, từ sáng nay thấy ngứa da đầu với lại nhiều gàu.",Khoa Da Liễu,SYMPTOM,NORMAL
Gần đây tôi thấy đau quặn bụng và tiêu chảy và buồn nôn khoảng 2 ngày nay.,Khoa Tiêu Hoá,SYMPTOM,EMERGENCY
"Bác sĩ ơi, dạo này tôi tai nạn giao thông, kéo dài dai dẳng thấy chảy nhiều máu, bất tỉnh.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Bác sĩ ơi, dạo này tôi đi ngoài ra máu, kéo dài dai dẳng thấy táo bón và đau rát.",Khoa Tiêu Hoá,SYMPTOM,EMERGENCY
Dạ tôi bị mờ mắt và nhìn không rõ và chảy nước mắt khoảng 2 ngày nay.,Khoa Mắt,SYMPTOM,MEDIUM
"Bác sĩ ơi tôi bị mụn viêm và sưng to, đau nhức mấy tháng nay.",Khoa Da Liễu,SYMPTOM,NORMAL
"Hôm nay tôi bị nổi mẩn đỏ, ngứa ngáy kết hợp với lan rộng hơn 1 tuần rồi.",Khoa Da Liễu,SYMPTOM,MEDIUM
"Hôm nay tôi liên tục không dứt hay bị nổi bong bóng nước, ngoài ra còn bị rát da và đỏ tấy.",Khoa Da Liễu,SYMPTOM,NORMAL
"Mình liên tục không dứt hay bị thoái hóa cột sống, ngoài ra còn bị đau âm ỉ và nhức mỏi.",Khoa Xương Khớp,SYMPTOM,NORMAL
"Người nhà tôi bị bỏng nặng, đau dữ dội kèm theo phồng rộp lớn từ sáng nay.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Tôi bị khó thở cấp, tím tái, ngạt thở liên tục không dứt.",Khoa Cấp Cứu,SYMPTOM,EMERGENCY
"Bác sĩ ơi, dạo này tôi đau quặn bụng, liên tục không dứt thấy tiêu chảy sau đó thì buồn nôn.",Khoa Tiêu Hoá,SYMPTOM,EMERGENCY
Admin cho hỏi: Tôi muốn đăng ký khám nhi thì đi cửa nào?,FAQ,FAQ,NORMAL
"Bác sĩ ơi, trẻ nhà tôi biếng ăn, liên tục không dứt thấy nôn trớ kết hợp với quấy khóc.",Khoa Nhi,SYMPTOM,MEDIUM
"Bác sĩ ơi, con tôi biếng ăn, từ đêm qua thấy nôn trớ với lại quấy khóc.",Khoa Nhi,SYMPTOM,EMERGENCY
"Bác sĩ ơi, dạ tôi tê bì chân tay, hơn 1 tuần rồi thấy mỏi vai gáy, choáng váng.",Khoa Nội Thần Kinh,SYMPTOM,MEDIUM
"Hôm nay tôi từ đêm qua hay bị sưng đỏ khớp ngón chân, ngoài ra còn bị đau buốt và khó cử động.",Khoa Xương Khớp,SYMPTOM,NORMAL
"Bác sĩ ơi, dạo này tôi đau dạ dày, thỉnh thoảng bị thấy nóng rát vùng ngực, ợ hơi.",Khoa Tiêu Hoá,SYMPTOM,NORMAL
